permno,ticker,comnam,permco 
82279,SENEA,SENECA FOODS CORP NEW,3659
90092,SUNH,SUN HEALTHCARE GROUP INC,29931
86236,ACTU,ACTUATE CORP,16214
82307,DVA,DAVITA INC,30975
41355,PH,PARKER HANNIFIN CORP,21367
65533,MBG,MANDALAY RESORT GROUP,20455
83808,VSNT,VERSANT CORP,14822
74740,TAYD,TAYLOR DEVICES INC,4381
86447,CZR,CAESARS ENTERTAINMENT INC,34953
77032,PSTI,PER SE TECHNOLOGIES INC,11139
87302,BSQR,BSQUARE CORP,17210
77495,MWAV,M WAVE INC,11447
80629,GLFD,GUILFORD PHARMACEUTICALS INC,13156
88246,CRWN,CROWN MEDIA HOLDINGS INC,37510
81137,APLX,APPLIX INC,13463
84375,TEN,TENNECO AUTOMOTIVE INC,31841
47133,CKR,C K E RESTAURANTS INC,5113
61313,DCI,DONALDSON INC,1344
76695,PNRA,PANERA BREAD CO,10968
83111,ALXN,ALEXION PHARMACEUTICALS INC,14394
89525,CMCSA,COMCAST CORP NEW,43613
73681,SUPX,SUPERTEX INC,6650
10935,BOSA,BOSTON ACOUSTICS INC,8813
90034,STAK,STAKTEK HOLDINGS INC,44890
77175,AMSC,AMERICAN SUPERCONDUCTOR CORP,11248
76240,BJS,B J SERVICES CO,26090
76360,GTIM,GOOD TIMES RESTAURANTS INC,10651
88448,IMNY,I MANY INC,37940
87430,WFII,WIRELESS FACILITIES INC,17314
90287,NETL,NETLOGIC MICROSYSTEMS INC,45427
83883,MIMS,M I M CORP,14905
45437,ISH,INTERNATIONAL SHIPHOLDING CORP,2364
90025,CGTK,CORGENTECH INC,44881
76841,BIIB,BIOGEN IDEC INC,11112
13303,NL,N L INDUSTRIES INC,21245
84329,SYNC,INTELLISYNC CORP,15205
85005,CRDM,CARDIMA INC,15511
11499,CECE,C E C O ENVIRONMENTAL CORP,176
25099,WPS,W P S RESOURCES CORP,21932
84084,HIBB,HIBBETT SPORTING GOODS INC,15037
87419,SNWL,SONICWALL INC,17336
27562,CBRL,C B R L GROUP INC,5169
75902,BORL,BORLAND SOFTWARE CORP,10430
17559,MSSN,MISSION RESOURCES CORP,487
87075,JCOM,J2 GLOBAL COMM INC,16665
79702,PTN,PALATIN TECHNOLOGIES INC,12516
81173,SWC,STILLWATER MINING CO,13480
22518,CTU,CHAD THERAPEUTICS INC,6193
88467,SOHU,SOHU COM INC,37957
88895,MPX,MARINE PRODUCTS CORP,41257
83251,CYTC,CYTYC CORP,14414
10966,,LECTEC CORP,8839
79007,SCVL,SHOE CARNIVAL INC IN,12015
84616,GTRC,GUITAR CENTER INC,15390
49680,DHR,DANAHER CORP,20557
64450,NJR,NEW JERSEY RES,3200
27983,XRX,XEROX CORP,21945
72338,NHC,NATIONAL HEALTHCARE CORP,21256
83722,MAXM,MAXIM PHARMACEUTICALS INC,31693
90051,MRY,MEMRY CORP,7465
35203,RMI,ROTONICS MANUFACTURING INC,21380
88165,GOAM,GOAMERICA INC,37159
85571,PGNX,PROGENICS PHARMACEUTICALS INC,15832
42219,TBC,TASTY BAKING CO,21713
44943,DIOD,DIODES INC,20585
86744,PRVT,PRIVATE MEDIA GROUP INC,35005
59871,ORBT,ORBIT INTERNATIONAL CORP,3396
84620,KOSP,KOS PHARMACEUTICALS INC,15377
20125,CCBL,C COR INC,787
88148,AXYX,AXONYX INC,37144
80186,PYX,PLAYTEX PRODUCTS INC,30107
79611,MOV,MOVADO GROUP INC,27626
84599,CVNS,COVANSYS CORP,15372
45348,VUL,VULCAN INTERNATIONAL CORP,21875
50948,SMTC,SEMTECH CORP,21596
83744,CNET,C N E T NETWORKS INC,14786
41663,HRLY,HERLEY INDUSTRIES INC,2209
77900,CVU,C P I AEROSTRUCTURES INC,11705
46076,WLC,WELLCO ENTERPRISES INC,21901
48506,MCO,MOODYS CORP,20610
77284,NXTL,NEXTEL COMMUNICATIONS INC,11313
85699,LYNX,LYNX THERAPEUTICS INC,15908
88510,CPKI,CALIFORNIA PIZZA KITCHEN INC,38411
53381,MIK,MICHAELS STORES INC,6959
87602,ELOY,ELOYALTY CORP,17962
10200,RGEN,REPLIGEN CORP,8135
88152,CCMP,CABOT MICROELECTRONICS CORP,37148
76391,MRX,MEDICIS PHARMACEUTICAL CORP,10535
81138,APOL,APOLLO GROUP INC,13457
84345,USEY,U S ENERGY SYSTEMS INC,15200
89426,AVO,ADVANCED MEDICAL OPTICS INC,43263
11703,DD,DU PONT E I DE NEMOURS & CO,20606
89810,GPK,GRAPHIC PACKAGING CORP DEL,44272
79802,HOLL,HOLLYWOOD MEDIA CORP,12567
89727,ARD,ARENA RESOURCES INC,44027
87086,PRFT,PERFICIENT INC,16678
69200,AMK,AMERICAN TECHNICAL CERAMICS CORP,20102
87005,UBET,YOUBET COM,16583
88475,VASC,VASCULAR SOLUTIONS INC,37964
76898,,BLACK WARRIOR WIRELINE CORP,10949
88982,SWRG,SMITH & WOLLENSKY REST GP INC,41561
75100,TIF,TIFFANY & CO NEW,21753
90045,LI,LAIDLAW INTERNATIONAL INC,44900
87816,STSI,STAR SCIENTIFIC INC,18443
27909,CFI,CULP INC,6342
77575,,MEDQUIST INC,11501
89958,IED,INVESTOOLS INC,44711
23077,HNZ,HEINZ H J CO,20900
76139,ORB,ORBITAL SCIENCES CORP,10566
81666,HA,HAWAIIAN HOLDINGS INC,30898
84005,GMST,GEMSTAR TV GUIDE INTL INC,14041
64020,LUB,LUBYS INC,2728
90439,NLC,NALCO HOLDING COMPANY,45868
89102,GCFB,GRANITE CITY FOOD & BREWERY LTD,37720
76856,FCFS,FIRST CASH FINANCIAL SVCS INC,10905
83283,JDAS,J D A SOFTWARE GROUP INC,14438
61621,PAYX,PAYCHEX INC,6333
69550,MYL,MYLAN LABS INC,3104
87750,ALTH,ALLOS THERAPEUTICS,18698
11850,XOM,EXXON MOBIL CORP,20678
85796,SCS,STEELCASE INC,34665
63060,WEN,WENDYS INTERNATIONAL INC,4961
81181,TLL,TELETOUCH COMMUNICATIONS INC,13494
54181,MIL,MILLIPORE CORP,2925
82766,ZRAN,ZORAN CORP,14235
77354,SCHL,SCHOLASTIC CORP,11358
76217,WTSLA,WET SEAL INC,10669
87532,RDI,READING INTERNATIONAL INC,20454
81066,ENCY,ENCYSIVE PHARMACEUTICALS INC,30088
81869,GVP,G S E SYSTEMS INC,13876
12265,EYE,V I S X INC,9983
88739,OPLK,OPLINK COMMUNICATIONS INC,40210
88980,NAPS,NAPSTER INC,41559
82670,,MANHATTAN PHARMACEUTICALS INC,14232
76843,GTSI,GTSI CORP,11120
81241,BRKS,BROOKS AUTOMATION INC,13539
84529,,ENDOCARE INC,15362
87414,RMKR,RAINMAKER SYSTEMS INC,17387
90069,MGN,MINES MANAGEMENT INC,44979
57745,NOBH,NOBILITY HOMES INC,3218
79790,NYNY,EMPIRE RESORTS INC,12543
89857,MXC,MEXCO ENERGY CORP,27321
26403,DIS,DISNEY WALT CO,20587
90026,CHRK,CHEROKEE INTL CORP,44882
80758,KFX,K F X INC,13213
87538,IPT,IPARTY CORP,36613
88446,ILMN,ILLUMINA INC,37938
84110,MWP,MARKWEST HYDROCARBON INC,15022
89418,MTCT,M T C TECHNOLOGIES INC,43255
79903,HHS,HARTE HANKS INC,30030
65307,RPM,R P M INTERNATIONAL INC,3911
81172,OCA,O C A INC,13489
87508,NTWK,NETSOL TECHNOLOGIES INC,17664
79006,SCON,SUPERCONDUCTOR TECHNOLOGIES INC,12000
40539,TJX,T J X COMPANIES INC NEW,21949
49429,DDS,DILLARDS INC,20584
87471,TGC,TENGASCO INC,36564
90231,MBRX,METABASIS THERAPEUTICS INC,45303
87179,NTCT,NETSCOUT SYSTEMS INC,16758
89215,AHS,A M N HEALTHCARE SERVICES INC,42400
79407,SYGR,SYNAGRO TECHNOLOGIES INC,12270
80167,HAIN,HAIN CELESTIAL GROUP INC,12569
12008,DY,DYCOM INDUSTRIES INC,7062
75444,LYO,LYONDELL CHEMICAL CO,22011
85814,CTAC,1 800 CONTACTS INC,15959
71685,CHP,C & D TECHNOLOGIES INC,20431
88516,DYAX,DYAX CORP,38417
88182,ONNN,ON SEMICONDUCTOR CORP,37176
90081,CUTR,CUTERA INC,44994
38156,WMB,WILLIAMS COS,21923
92399,TRCI,TECHNOLOGY RESEARCH CORP,7322
10890,UIS,UNISYS CORP,21814
79591,AHI,ALLIED HOLDINGS INC,12438
88987,GEG,GLOBAL POWER EQUIPMENT GROUP INC,41577
88542,LTRX,LANTRONIX INC,38439
24272,ASH,ASHLAND INC,20222
77236,PHX,PANHANDLE ROYALTY CO,11270
75066,HKF,HANCOCK FABRICS INC,20872
81178,RSAS,R S A SEC INC,13467
84042,UAG,UNITED AUTO GROUP INC,31780
45671,SFA,SCIENTIFIC ATLANTA INC,21580
59248,RKY,COORS ADOLPH CO,33
81539,ANAD,ANADIGICS INC,13687
87646,WITS,WITNESS SYSTEMS INC,17960
90311,LIV,SAMARITAN PHARMACEUTICALS INC,45473
80252,MAPS,MAPINFO CORP,12812
24432,GXP,GREAT PLAINS ENERGY INC,21032
89871,OVNT,OVERNITE CORP,44501
76330,,COMMAND SECURITY CORP,10690
81288,CGM,CONGOLEUM CORP NEW,30848
79516,OXGN,OXIGENE INC,12379
47706,FSS,FEDERAL SIGNAL CORP,20698
21785,CAW,C C A INDUSTRIES INC,6522
76279,MTRX,MATRIX SERVICE CO,10758
89046,WMGI,WRIGHT MEDICAL GROUP INC,41822
61700,VII,VICON INDUSTRIES INC,4797
89174,ODSY,ODYSSEY HEALTHCARE INC,42269
75527,ZQK,QUIKSILVER INC,8820
76148,RTI,R T I INTERNATIONAL METALS INC,26058
85210,SHF,SCHUFF INTERNATIONAL INC,15562
79399,KTEC,KEY TECHNOLOGY INC,12304
12188,EAR,HEARUSA INC,9683
87639,TWAV,THERMA WAVE INC,17938
79428,UCOMA,UNITEDGLOBALCOM INC,12297
88471,TBIO,TRANSGENOMIC INC,37961
89952,CMP,COMPASS MINERALS INTL INC,44705
88031,HANS,HANSEN NATURAL CORP,7902
44821,IMGC,INTERMAGNETICS,2360
90179,ANGO,ANGIODYNAMICS INC,45192
76322,ASHW,ASHWORTH INC,10582
85770,MDS,MIDAS INC,34636
63159,STS,SUPREME INDUSTRIES INC,1588
90243,INHX,INHIBITEX INC,45314
76489,LUFK,LUFKIN INDUSTRIES INC,10783
86591,DPH,DELPHI CORP,34988
41574,SLS,SELAS CORP AMER,21594
90314,CVGI,COMMERCIAL VEHICLE GROUP INC,45478
86198,VITX,V I TECHNOLOGIES INC,16148
88250,GNBT,GENEREX BIOTECHNOLOGY CORP DEL,37514
26657,GAP,GREAT ATLANTIC & PAC TEA INC,20844
76582,RBIN,R & B INC,10855
11970,APCC,AMERICAN POWER CONVERSION CORP,9873
88922,EAC,ENCORE ACQUISTION CO,41365
87412,RETK,RETEK INC,17397
11681,GXY,GALAXY NUTRITIONAL FOODS INC,9505
88681,WW,WATSON WYATT & CO HOLDINGS,40158
65875,VZ,VERIZON COMMUNICATIONS INC,20288
83309,SEGU,SEGUE SOFTWARE INC,14476
51596,KMI,KINDER MORGAN INC KANSAS,21029
89559,ABRX,ABLE LABORATORIES INC,10716
26614,SJI,SOUTH JERSEY INDS INC,21637
25582,HRS,HARRIS CORP,20883
69796,STZ,CONSTELLATION BRANDS INC,1015
88554,PIII,PECO II INC,38450
81119,YBTVA,YOUNG BROADCASTING INC,13416
79545,BWA,BORGWARNER INC,29936
83170,SORC,SOURCE INTERLINK COS INC,14359
77393,BTX,BIOTIME INC,11383
87394,IMMR,IMMERSION CORP,17346
76839,FIZ,NATIONAL BEVERAGE CORP,11111
80463,MTIC,M T I TECHNOLOGY CORP,12982
90241,WCAA,W C A WASTE CORP,45312
80795,AMED,AMEDISYS INC,13269
83275,IDT,I D T CORP,14442
79252,BYBI,BACK YARD BURGER,12236
85500,ROAC,ROCK OF AGES CORP,15768
26518,BOL,BAUSCH & LOMB INC,20276
77637,FC,FRANKLIN COVEY CO,29506
34673,NR,NEWPARK RESOURCES INC,24025
75888,WGR,WESTERN GAS RESOURCES INC,22139
76310,BDCO,BLUE DOLPHIN ENERGY CO,10550
31668,EDUC,EDUCATIONAL DEVELOPMENT CORP,1477
89957,ISG,INTERNATIONAL STEEL GROUP INC,44710
83124,CSGS,C S G SYSTEMS INTERNATIONAL INC,14393
43334,SYNL,SYNALLOY CORP,21696
47969,KNAP,KNAPE & VOGT MANUFACTURING CO,2559
78910,RMTR,RAMTRON INTERNATIONAL CORP,11964
13100,MAY,MAY DEPARTMENT STORES CO,21172
88851,CMQ,CATHAY MERCHANT GROUP INC,41079
81285,ASD,AMERICAN STANDARD COS INC DEL,30847
78155,HGGR,HAGGAR CORP,11842
89924,XPRT,L E C G CORP,44632
89485,PSYS,PSYCHIATRIC SOLUTIONS INC,43452
86721,HLTH,WEBMD CORP,16406
45890,KT,KATY INDUSTRIES INC,21036
86233,USU,U S E C INC,34843
56223,LPX,LOUISIANA PACIFIC CORP,21121
86322,DRIV,DIGITAL RIVER INC,16257
11473,NATK,NORTH AMERICAN TECH GP INC,9302
10547,APAT,A P A ENTERPRISES INC,8458
65672,MRI,MCRAE INDUSTRIES INC,2825
80791,ADTN,ADTRAN INC,13252
23579,TXT,TEXTRON INC,21743
86586,TUTS,TUT SYSTEMS INC,16387
78977,JAH,JARDEN CORP,12037
83462,TUP,TUPPERWARE CORP,31647
78841,EGY,VAALCO ENERGY INC,11923
88284,CYH,COMMUNITY HEALTH SYS INC NEW,37664
89409,RGC,REGAL ENTERTAINMENT GROUP,43163
89899,SIR,SIRVA INC,44611
81705,FEIC,F E I COMPANY,13750
78664,TDSC,3 D SYSTEMS CORP DEL,26127
79977,HGSI,HUMAN GENOME SCIENCES INC,12630
77327,DSSI,DATA SYSTEMS & SOFTWARE INC,11335
77324,HDTV,SPATIALIGHT INC,11329
88550,OPNT,OPNET TECHNOLOGIES INC,38446
83131,DGIT,DIGITAL GENERATION SYSTEM INC,14340
83495,DIGE,DIGENE CORP,14644
76671,ANN,ANNTAYLOR STORES CORP,28876
88518,,EB2B COMMERCE INC,38418
70156,CNE,C N E GROUP INC,21169
56063,FTO,FRONTIER OIL CORP,21879
85951,OME,OMEGA PROTEIN CORP,34725
83452,NDN,99 CENTS ONLY STORES,31636
80254,MINI,MOBILE MINI INC,12859
44134,KMT,KENNAMETAL INC,21045
84911,TSC,STEPHAN CO,26020
82236,WBR,WYNDHAM INTL INC,30948
78953,APSG,APPLIED SIGNAL TECHNOLOGY,12045
77478,CBK,CHRISTOPHER AND BANKS CORP,11439
26009,ATSN,ARTESYN TECHNOLOGIES INC,1092
10318,BCP,BALCHEM CORP,8237
10324,GENZ,GENZYME CORP,8243
81620,HDNG,HARDINGE INC,13743
88425,BLUE,BLUE MARTINI SOFTWARE,37921
12140,GR,GOODRICH CORP,20833
81184,USAP,UNIVERSAL STNLESS & ALY PRODS IN,13466
25320,CPB,CAMPBELL SOUP CO,20384
89394,OSTK,OVERSTOCK COM INC DEL,43146
25487,CD,CENDANT CORP,6391
83875,IDSA,INDUSTRIAL SERVICES OF AM INC,14932
41444,AIH,ABLEST INC,876
76706,MEDX,MEDAREX INC,10990
87647,WQNI,WORLDQUEST NETWORKS INC,17937
70659,SILI,SILICONIX INC,4114
88989,KMR,KINDER MORGAN MANAGEMENT LLC,41578
87777,IBPI,INTRABIOTICS PHARMACEUTICALS INC,18700
76282,AN,AUTONATION INC DEL,10594
88795,HTCH,HUTCHINSON TECHNOLOGY INC,7694
17144,GIS,GENERAL MILLS INC,20798
67010,NUHC,NU HORIZONS ELECTRS CORP,6021
86580,NVDA,NVIDIA CORP,16382
82651,WAT,WATERS CORP,31208
76448,TFS,THREE FIVE SYSTEMS INC,10579
89941,TZOO,TRAVELZOO INC,44695
83956,PRLS,PEERLESS SYSTEMS CORP,14970
25785,F,FORD MOTOR CO DEL,20750
47490,RML,RUSSELL CORP,21540
78836,OLGC,ORTHOLOGIC CORP,11922
79392,HLYW,HOLLYWOOD ENTERTAINMENT CORP,12277
60599,CTL,CENTURYTEL INC,20421
77605,BSX,BOSTON SCIENTIFIC CORP,29489
88338,EFD,EFUNDS CORP,37713
90126,CYTK,CYTOKINETICS INC,45082
49154,TGT,TARGET CORP,20561
76008,ZILA,ZILA INC,10341
11644,CRK,COMSTOCK RESOURCES INC,9465
46229,JACO,JACO ELECTRONICS INC,2427
79390,GTCB,G T C BIOTHERAPEUTICS INC,12265
43721,LZ,LUBRIZOL CORP,21123
19502,WAG,WALGREEN CO,21881
80932,FTHR,FEATHERLITE INC,13336
76366,HCT,HECTOR COMMUNICATIONS CORP,10704
90233,MNTA,MOMENTA PHARMACEUTICALS INC,45305
10853,RENT,RENTRAK CORP,8738
75831,DGII,DIGI INTERNATIONAL INC,10323
86829,IMM,IMMTECH INTERNATIONAL INC,16494
50905,JH,HARLAND JOHN H CO,20880
87790,LOUD,LOUDEYE CORP,18428
11347,STXN,STRATEX NETWORKS INC,9192
55993,NSSC,NAPCO SECURITY SYSTEMS INC,5253
44274,INSU,INSITUFORM TECHNOLOGIES INC,2366
87219,ACME,ACME COMMUNICATIONS INC,17164
55160,SUMX,SUMMA INDUSTRIES INC,2936
81311,HTCO,HICKORY TECH CORP,27566
75285,MAN,MANPOWER INC WIS,20312
86926,TWTC,TIME WARNER TELECOM INC,16525
33937,MAM,MAINE & MARITIMES CORP,21147
85565,NANX,NANOPHASE TECHNOLOGIES CORP,15858
82156,DSCO,DISCOVERY LABORATORIES INC,13915
88172,KKD,KRISPY KREME DOUGHNUTS INC,37166
87465,IN,INFONET SERVICES CORP,36558
89797,IVII,INTERVIDEO INC,44173
19271,BRID,BRIDGFORD FOODS CORP,644
80539,NKTR,NEKTAR THERAPEUTICS,13036
83559,SSNC,SS & C TECHNOLOGIES INC,14681
63830,PCP,PRECISION CASTPARTS CORP,3499
27828,HPQ,HEWLETT PACKARD CO,20908
89230,IMA,INVERNESS MED INNOVATIONS INC,42415
81653,PQE,PROQUEST CO,30884
78959,FSTW,FIRSTWAVE TECHNOLOGIES INC,12055
87227,,EGAIN COMMUNICATIONS CORP,17135
10516,ADM,ARCHER DANIELS MIDLAND CO,20207
76082,COG,CABOT OIL & GAS CORP,26024
83362,CASA,MEXICAN RESTAURANTS INC,14557
25452,JCS,COMMUNICATIONS SYSTEMS INC,5195
11754,EK,EASTMAN KODAK CO,20626
37568,FELE,FRANKLIN ELECTRIC INC,1688
79797,ASY,ELECSYS CORP,12620
76195,KSWS,K SWISS INC,10625
76847,BONT,BON TON STORES INC,11123
33612,ESCC,EVANS & SUTHERLAND COMPUTER CORP,1583
81595,EVST,EVERLAST WORLDWIDE INC,13706
81078,COHT,COHESANT TECHNOLOGIES INC,13451
87623,NXTP,NEXTEL PARTNERS INC,18305
81661,JJZ,JACUZZI BRANDS INC,30893
77178,QCOM,QUALCOMM INC,11253
83704,,UNIFY CORP,14724
75554,SEMI,ALL AMERICAN SEMICONDUCTOR INC,9411
76845,SEPR,SEPRACOR INC,11117
85882,TOA,TECHNICAL OLYMPIC U S A INC,16011
41292,HCSG,HEALTHCARE SERVICES GROUP INC,6616
81728,,NATURAL HEALTH TRENDS CORP,13796
11511,,CERAMICS PROCESS SYS CORP,9340
85845,SGDE,SPORTSMANS GUIDE INC,8175
89916,NXST,NEXSTAR BROADCASTING GROUP INC,44625
90188,NUVA,NUVASIVE INC,45197
88972,SEM,SELECT MEDICAL CORP,41465
87184,RHAT,RED HAT INC,16753
23537,CPCI,CIPRICO INC,6130
90501,FCL,FOUNDATION COAL HOLDINGS INC,46020
57437,KWD,KELLWOOD COMPANY,21042
90110,HSP,HOSPIRA INC,45068
77976,MFE,MCAFEE INC,11735
75326,ACI,ARCH COAL INC,20221
11794,IEIB,INTERNATIONAL ELECTRONICS INC,9595
80638,MBND,MULTIBAND CORP,7120
84784,VSF,VITA FOOD PRODS INC NV,31986
89213,WOOF,V C A ANTECH INC,42398
85002,AVII,A V I BIOPHARMA INC,15507
84639,ENMC,ENCORE MEDICAL CORP,15406
24476,COHR,COHERENT INC,1033
85225,VMTI,VISTA MEDICAL TECHNOLOGIES INC,15577
89859,ACUS,ACUSPHERE INC,44490
90200,CAB,CABELAS INC,45272
67942,HX,HALIFAX CORP,6120
24459,PBI,PITNEY BOWES INC,21411
83575,ULGX,UROLOGIX INC,14675
46690,CBT,CABOT CORP,20374
79502,LNY,LANDRYS RESTAURANTS INC,12369
88248,CTLM,CENTILLIUM COMMUNICATIONS INC,37512
76980,ROCM,ROCHESTER MEDICAL CORP,11025
88173,LEXG,LEXICON GENETICS INC,37167
86548,ARJ,ARCH CHEMICALS INC,34965
18148,SPEX,SPHERIX INC,682
57015,,IMPERIAL INDUSTRIES INC,25549
76720,CURE,CURATIVE HEALTH SERVICES INC,11004
65752,TMI,TEAM INC,4402
10488,ALGI,AMERICAN LOCKER GROUP,418
65293,TRA,TERRA INDUSTRIES INC,20979
90052,TRW,T R W AUTOMOTIVE HOLDINGS CORP,44911
85838,NOOF,NEW FRONTIER MEDIA INC,15967
87000,STMP,STAMPS COM INC,16612
87564,RGCI,REGENT COMMUNICATIONS INC,17862
17137,BSET,BASSETT FURNITURE INDUSTRIES INC,676
66384,WDC,WESTERN DIGITAL CORP,4879
85959,ADPI,AMERICAN DENTAL PARTNERS INC,16054
35705,VPF,VALPEY FISHER CORP,21163
75755,USHS,U S HOME SYSTEMS,10182
79255,DLP,DELTA & PINE LAND CO,12247
79490,,FULL HOUSE RESORTS INC,12346
81695,DAB,DAVE & BUSTERS INC,13801
81889,PHHM,PALM HARBOR HOMES INC,13889
29285,DGAS,DELTA NATURAL GAS INC,1303
81696,DISH,ECHOSTAR COMMUNICATIONS CORP NEW,13790
61188,SWX,SOUTHWEST GAS CORP,4342
84730,SCLD,STEELCLOUD INC,15445
85675,AMSG,AMSURG CORP,15867
82494,GRN,GREENMAN TECHNOLOGIES INC,14014
87579,EAG,EAGLE BROADBAND INC,36759
76259,MAPX,MAPICS INC,10723
87752,ASIA,ASIAINFO HOLDINGS INC,18350
83303,SGRP,S P A R GROUP INC,14398
90125,CORT,CORCEPT THERAPEUTICS INC,45081
90197,KAR,ADESA INC,45268
75510,ADBE,ADOBE SYSTEMS INC,8476
76372,ISYS,INTEGRAL SYSTEMS INC,10607
87400,MSLV,METASOLV INC,17398
45911,SWKS,SKYWORKS SOLUTIONS INC,20058
89447,CVGW,CALAVO GROWERS INC,43326
81553,FNLY,FINLAY ENTERPRISES INC,13652
85419,CSU,CAPITAL SENIOR LIVING CORP,32102
78054,RIMG,RIMAGE CORP,11789
25013,SGP,SCHERING PLOUGH CORP,21575
83929,DDRX,DIEDRICH COFFEE INC,14952
45583,AGL,ANGELICA CORP,20199
10116,,ACURA PHARMACEUTICALS INC,8028
16715,STW,STANDARD COMMERCIAL CORP,4287
25778,CA,COMPUTER ASSOCIATES INTL INC,5220
64864,AMPL,AMPAL AMERICAN ISRAEL CORP,238
83405,PLCM,POLYCOM INC,14567
83422,SYKE,SYKES ENTERPRISES INC,14572
85564,,INTERLEUKIN GENETICS INC,15860
25953,DOV,DOVER CORP,20596
80634,IFNY,INFINITY INC,13159
81584,CBIZ,CENTURY BUSINESS SERVICES INC,13695
88809,OCPI,OPTICAL COMMUNICATION PRODS INC,40997
66376,WSO,WATSCO INC,21893
81220,NSIT,INSIGHT ENTERPRISES INC,13521
82521,RSYS,RADISYS CORP,14070
84262,STLD,STEEL DYNAMICS INC,15171
90293,REDI,REMOTE DYNAMICS INC,45432
72494,SR,STANDARD REGISTER CO,4230
89796,IPAS,IPASS INC,44172
10383,CYTO,CYTOGEN CORP,8300
26470,EGN,ENERGEN CORP,20649
65541,COO,COOPER COMPANIES INC,5780
87657,EW,EDWARDS LIFESCIENCES CORP,36952
83416,SIPX,SIPEX CORP,14493
84521,,ARIES VENTURES INC,15354
13056,AM,AMERICAN GREETINGS CORP,121
87632,SQNM,SEQUENOM INC,17905
86768,CPTH,CRITICAL PATH INC,16451
82533,ZCOM,IMPRESO INC,14025
78876,CRY,CRYOLIFE INC,11958
77584,BKE,BUCKLE INC,11506
19350,DE,DEERE & CO,20566
65509,BLC,BELO CORP,5223
80560,NPSP,N P S PHARMACEUTICALS INC,13113
78999,PSUN,PACIFIC SUNWEAR OF CA INC,12013
23819,HAL,HALLIBURTON COMPANY,20868
37381,FORD,FORWARD INDUSTRIES INC NY,1810
86090,GLGS,GLYCOGENESYS INC,16085
81665,SYX,SYSTEMAX INC,30897
80928,DAR,DARLING INTERNATIONAL INC,13300
80257,NMSS,N M S COMMUNICATIONS CORP,12867
12209,LWAY,LIFEWAY FOODS INC,10059
51960,MXWL,MAXWELL TECHNOLOGIES INC,5866
88853,FLR,FLUOR CORP NEW,41080
80266,QLGC,QLOGIC CORP,12884
79322,NSYS,NORTECH SYSTEMS INC,29244
79799,ATMI,ATMI INC,12606
75101,TBL,TIMBERLAND CO,21755
89838,BIVN,BIOENVISION INC,44385
89271,LWSN,LAWSON SOFTWARE INC,42542
87165,HOMS,HOMESTORE INC,16701
17726,CCK,CROWN HOLDINGS INC,20537
81741,SCKT,SOCKET COMMUNICATIONS INC,13759
24441,CDE,COEUR D ALENE MINES CORP ID,1071
75033,VOXX,AUDIOVOX CORP,20232
84785,WNI,WEIDER NUTRITION INTL INC,31987
76837,HAE,HAEMONETICS CORP MASS,2075
13821,PGL,PEOPLES ENERGY CORP,21382
80245,HRSH,HIRSCH INTERNATIONAL CORP,12866
65163,QUIX,QUIXOTE CORP,3757
61399,LOW,LOWES COMPANIES INC,2709
84769,APH,AMPHENOL CORP NEW,31967
81743,SERO,SEROLOGICALS CORP,13780
85894,XTND,EXTENDED SYSTEMS INC,15996
89898,OMR,ODYSSEY MARINE EXPLORATION INC,44608
90479,EEEI,ELECTRO ENERGY INC,46001
13777,AMSWA,AMERICAN SOFTWARE INC,5828
85889,SRDX,SURMODICS INC,15995
13901,MO,ALTRIA GROUP INC,21398
79427,NYFX,NYFIX INC,12249
25443,PSD,PUGET ENERGY INC,21461
45277,IGT,INTERNATIONAL GAME TECHNOLOGY,5132
85520,ZVXI,ZEVEX INTERNATIONAL INC,32134
87571,ASPM,ASPECT MEDICAL SYSTEMS INC,17872
85900,CAO,C S K AUTO CORP,34677
88991,BTU,PEABODY ENERGY CORP,41580
78073,SATC,SATCON TECHNOLOGY CORP,11802
89243,VAS,VIASYS HEALTHCARE INC,42428
80858,WAVX,WAVE SYSTEMS CORP,13296
90461,SPSX,SUPERIOR ESSEX INC,45883
84562,,HEALTH GRADES INC,15322
78892,,I E C ELECTRONICS CORP NEW,11963
90247,DEX,DEX MEDIA INC,45378
79108,SANM,SANMINA SCI CORP,12083
76656,MEDI,MEDIMMUNE INC,10925
87845,UDW,U S DATAWORKS INC,37142
89753,FORM,FORMFACTOR INC,44115
77045,STEI,STEWART ENTERPRISES INC,11142
80946,RCO,RAMP CORP,13301
66078,REF,REFAC NEW,3818
56945,NATR,NATURES SUNSHINE PRODUCTS INC,250
11144,AVD,AMERICAN VANGUARD CORP,9002
89860,AVNC,ADVANCIS PHARMACEUTICAL CORP,44491
12214,LOGC,LOGIC DEVICES INC,9998
88807,NVTL,NOVATEL WIRELESS INC,40996
40061,TEK,TEKTRONIX INC,21719
46578,CLX,CLOROX CO,20463
25348,CTCO,COMMONWEALTH TELE ENTRPS INC,1221
37807,VAL,VALSPAR CORP,21856
42140,PNK,PINNACLE ENTERTAINMENT GROUP INC,2227
11533,FIC,FAIR ISAAC CORP,9360
87074,INSW,INSWEB CORP,16664
88501,APTI,ADVANCED POWER TECHNOLOGY INC,38403
62383,RYL,RYLAND GROUP INC,3954
30737,DBRN,DRESS BARN INC,5957
29946,BF,BROWN FORMAN CORP,20340
